State,City,Population,Black,American Indian/Alaskan Native,Asian,Native Hawaiian / Pacific Islander,Hispanic/Latino,White,Other,Two or More
 Alabama,Muscle Shoals,13492.0,2680.0,57.0,33.0,0.0,109.0,10423.0,0.0,190.0
 Alabama,Munford,1443.0,245.0,0.0,16.0,0.0,67.0,1104.0,67.0,11.0
 Alabama,Mulga,922.0,144.0,2.0,0.0,0.0,8.0,766.0,2.0,2.0
 Alabama,Eufaula,12809.0,5864.0,0.0,209.0,0.0,821.0,5872.0,524.0,169.0
 Alabama,Mount Vernon,1482.0,1034.0,52.0,0.0,0.0,0.0,379.0,0.0,17.0
 Alabama,Mount Olive CDP (Jefferson County),4100.0,0.0,9.0,34.0,0.0,9.0,4040.0,0.0,8.0
 Alabama,Mount Olive CDP (Coosa County),300.0,64.0,0.0,0.0,0.0,0.0,236.0,0.0,0.0
 Alabama,Mountain Brook,20518.0,341.0,59.0,265.0,25.0,303.0,19523.0,55.0,61.0
 Alabama,Bon Air,103.0,2.0,1.0,0.0,0.0,0.0,100.0,0.0,0.0
 Alabama,Boligee,640.0,580.0,0.0,0.0,0.0,0.0,60.0,0.0,0.0
 Alabama,Boaz,9673.0,254.0,0.0,180.0,0.0,1793.0,7280.0,384.0,166.0
 Alabama,Blue Springs,99.0,11.0,0.0,0.0,0.0,0.0,88.0,0.0,0.0
 Alabama,Blue Ridge,1461.0,0.0,18.0,26.0,0.0,18.0,1417.0,0.0,0.0
 Alabama,Pickensville,661.0,401.0,0.0,1.0,0.0,0.0,259.0,0.0,0.0
 Alabama,Piedmont,4767.0,489.0,10.0,31.0,0.0,79.0,4033.0,0.0,125.0
 Alabama,Pike Road,7178.0,1536.0,4.0,206.0,0.0,62.0,5331.0,8.0,39.0
 Alabama,Pinckard,460.0,49.0,0.0,0.0,0.0,12.0,411.0,0.0,0.0
 Alabama,St. Stephens,580.0,67.0,0.0,0.0,0.0,0.0,513.0,0.0,0.0
 Alabama,St. Florian,418.0,9.0,0.0,0.0,0.0,3.0,398.0,0.0,10.0
 Alabama,Rutledge,342.0,85.0,18.0,0.0,0.0,0.0,232.0,0.0,7.0
 Alabama,Russellville,9824.0,1210.0,301.0,0.0,0.0,3960.0,4731.0,999.0,113.0
 Alabama,Rosa,385.0,0.0,0.0,0.0,0.0,0.0,385.0,0.0,0.0
 Alabama,Rogersville,1099.0,50.0,0.0,10.0,0.0,7.0,999.0,0.0,33.0
 Alabama,Rockville,34.0,0.0,0.0,0.0,0.0,0.0,34.0,0.0,0.0
 Alabama,Rock Mills,648.0,0.0,0.0,0.0,0.0,0.0,582.0,0.0,66.0
 Alabama,Rockford,620.0,339.0,0.0,0.0,0.0,0.0,281.0,0.0,0.0
 Alabama,Rock Creek,1336.0,42.0,0.0,0.0,0.0,0.0,1294.0,0.0,0.0
 Alabama,Robertsdale,5656.0,467.0,57.0,7.0,0.0,431.0,4768.0,255.0,0.0
 Alabama,Saks,10826.0,2898.0,72.0,33.0,7.0,520.0,6832.0,382.0,477.0
 Alabama,Roanoke,6013.0,2625.0,0.0,0.0,0.0,172.0,3196.0,0.0,108.0
 Alabama,Riverside,2296.0,27.0,0.0,161.0,0.0,112.0,2051.0,0.0,0.0
 Alabama,River Falls,721.0,220.0,0.0,4.0,0.0,4.0,471.0,0.0,26.0
 Alabama,Ridgeville,117.0,93.0,0.0,0.0,0.0,0.0,21.0,0.0,3.0
 Alabama,Repton,130.0,44.0,0.0,0.0,0.0,0.0,84.0,2.0,0.0
 Alabama,Rehobeth,1602.0,21.0,5.0,0.0,0.0,41.0,1533.0,0.0,5.0
 Alabama,Reform,2012.0,1128.0,0.0,0.0,0.0,31.0,826.0,31.0,27.0
 Alabama,Reeltown,425.0,0.0,0.0,0.0,0.0,0.0,425.0,0.0,0.0
 Alabama,Reece City,793.0,0.0,0.0,8.0,0.0,0.0,775.0,0.0,10.0
 Alabama,Redstone Arsenal,1657.0,386.0,10.0,38.0,0.0,156.0,962.0,97.0,117.0
 Alabama,Red Level,364.0,18.0,0.0,0.0,0.0,5.0,341.0,0.0,0.0
