State,City,Population,Unemployment Count
 Alabama,Goodwater,1537.0,742.0
 Alabama,Good Hope,2232.0,614.0
 Alabama,Goldville,43.0,13.0
 Alabama,Glenwood,228.0,62.0
 Alabama,Glencoe,5139.0,2086.0
 Alabama,Glen Allen,513.0,204.0
 Alabama,Gilbertown,191.0,89.0
 Alabama,Geraldine,883.0,245.0
 Alabama,Georgiana,1710.0,851.0
 Alabama,Geneva,4469.0,1472.0
 Alabama,Geiger,262.0,83.0
 Alabama,Gaylesville,187.0,77.0
 Alabama,Gardendale,13763.0,4511.0
 Alabama,Garden City,374.0,185.0
 Alabama,Gantt,180.0,55.0
 Alabama,Gallant,742.0,308.0
 Alabama,Gainesville,171.0,73.0
 Alabama,Gadsden,36455.0,13923.0
 Alabama,Fyffe,1358.0,463.0
 Alabama,Fultondale,8733.0,2130.0
 Alabama,Fulton,211.0,75.0
 Alabama,Fruithurst,266.0,88.0
 Alabama,Graham,332.0,78.0
 Alabama,Spanish Fort,7578.0,1781.0
 Alabama,Hueytown,15894.0,5264.0
 Alabama,Huntsville,185594.0,54850.0
 Alabama,Margaret,4487.0,736.0
 Alabama,Marbury,1419.0,414.0
 Alabama,Maplesville,815.0,275.0
 Alabama,Malvern,1816.0,574.0
 Alabama,Malcolm,168.0,91.0
 Alabama,Magnolia Springs,752.0,342.0
 Alabama,Madrid,355.0,127.0
 Alabama,Madison,45590.0,11157.0
 Alabama,McMullen,5.0,3.0
 Alabama,McKenzie,551.0,211.0
 Alabama,McIntosh,422.0,146.0
 Alabama,Marion,3551.0,1716.0
 Alabama,Macedonia,165.0,61.0
 Alabama,Lynn,563.0,260.0
 Alabama,Luverne,2825.0,1105.0
 Alabama,Loxley,1886.0,443.0
 Alabama,Lowndesboro,118.0,49.0
 Alabama,Louisville,440.0,183.0
 Alabama,Lookout Mountain,1152.0,625.0
 Alabama,Locust Fork,1441.0,554.0
 Alabama,Lockhart,443.0,151.0
 Alabama,Loachapoka,217.0,71.0
 Alabama,Livingston,3466.0,1656.0
 Alabama,Littleville,1029.0,410.0
 Alabama,McDonald Chapel,530.0,188.0
 Alabama,Maytown,359.0,167.0
 Alabama,Meadowbrook,8752.0,1883.0
 Alabama,Megargel,64.0,48.0
 Alabama,Ariton,702.0,309.0
 Alabama,Moundville,2183.0,817.0
 Alabama,Moulton,3386.0,1537.0
 Alabama,Mosses,1036.0,428.0
 Alabama,Morrison Crossroads,190.0,77.0
 Alabama,Morris,1737.0,467.0
 Alabama,Mooresville,78.0,35.0
 Alabama,Moores Mill,6591.0,1577.0
 Alabama,Moody,12292.0,3201.0
 Alabama,Montgomery,202967.0,60291.0
 Alabama,Montevallo,6549.0,2172.0
 Alabama,Monroeville,6265.0,2442.0
 Alabama,Mobile,194669.0,64925.0
 Alabama,Minor,1334.0,417.0
 Alabama,Millry,565.0,284.0
 Alabama,Millport,1070.0,437.0
 Alabama,Millerville,216.0,27.0
 Alabama,Millbrook,14983.0,3803.0
 Alabama,Mignon,1088.0,354.0
 Alabama,Midway,583.0,175.0
 Alabama,Midland City,2151.0,671.0
 Alabama,Midfield,5284.0,1278.0
 Alabama,Meridianville,6270.0,1764.0
 Alabama,Mentone,390.0,219.0
 Alabama,Memphis,38.0,28.0
 Alabama,Lisman,613.0,234.0
 Alabama,Huguley,2373.0,645.0
 Alabama,Lipscomb,2275.0,697.0
 Alabama,Linden,2123.0,891.0
 Alabama,Ardmore,1419.0,562.0
 Alabama,Argo,4146.0,1159.0
 Alabama,Lakeview,133.0,54.0
 Alabama,La Fayette,2989.0,1296.0
 Alabama,Ladonia,2840.0,988.0
 Alabama,Kinston,563.0,201.0
 Alabama,Kinsey,2275.0,691.0
 Alabama,Kimberly,2799.0,727.0
 Alabama,Killen,1177.0,315.0
 Alabama,Kennedy,412.0,188.0
 Alabama,Kellyton,248.0,72.0
 Alabama,Arab,8282.0,2919.0
 Alabama,Kansas,186.0,76.0
 Alabama,Jemison,2627.0,755.0
 Alabama,Jasper,14186.0,5010.0
 Alabama,Jacksonville,12372.0,4401.0
 Alabama,Jacksons' Gap,932.0,326.0
