State,City,Population,Never Married,Married,Divorced,Separated,Widowed
 Alabama,Cusseta,151.0,40.0,50.0,17.0,0.0,20.0
 Alabama,Dadeville,3181.0,780.0,1183.0,330.0,152.0,313.0
 Alabama,Daleville,5188.0,1118.0,2038.0,534.0,159.0,210.0
 Alabama,Daphne,23559.0,5018.0,9457.0,2731.0,536.0,1128.0
 Alabama,Dauphin Island,1319.0,188.0,718.0,141.0,4.0,49.0
 Alabama,Daviston,271.0,45.0,131.0,29.0,11.0,25.0
 Alabama,Dayton,25.0,2.0,8.0,1.0,4.0,0.0
 Alabama,Deatsville,1218.0,167.0,599.0,86.0,15.0,20.0
 Alabama,Decatur,55598.0,12329.0,20437.0,6402.0,1896.0,3445.0
 Alabama,Deer Park,203.0,49.0,106.0,0.0,10.0,17.0
 Alabama,Delta,259.0,34.0,134.0,51.0,0.0,15.0
 Alabama,Ranburne,441.0,56.0,205.0,49.0,0.0,51.0
 Alabama,Ashland,2667.0,462.0,980.0,365.0,114.0,230.0
 Alabama,Ashford,2316.0,547.0,946.0,188.0,44.0,146.0
 Alabama,Arley,476.0,87.0,218.0,53.0,11.0,48.0
 Alabama,Hanceville,3195.0,726.0,974.0,436.0,78.0,424.0
 Alabama,Hammondville,587.0,85.0,291.0,76.0,0.0,23.0
 Alabama,Hamilton,6814.0,1240.0,2952.0,620.0,160.0,363.0
 Alabama,Haleyville,4068.0,668.0,1401.0,739.0,52.0,346.0
 Alabama,Haleburg,96.0,11.0,66.0,6.0,0.0,4.0
 Alabama,Hackneyville,381.0,48.0,240.0,34.0,0.0,26.0
 Alabama,Hackleburg,1444.0,263.0,644.0,161.0,47.0,105.0
 Alabama,Gu-Win,126.0,16.0,65.0,14.0,1.0,8.0
 Alabama,Gurley,691.0,162.0,209.0,140.0,10.0,59.0
 Alabama,Guntersville,8326.0,1665.0,3386.0,1076.0,126.0,696.0
 Alabama,Gulf Shores,10703.0,2026.0,5010.0,1285.0,140.0,651.0
 Alabama,Harpersville,1711.0,350.0,581.0,219.0,37.0,104.0
 Alabama,Gulfcrest,207.0,0.0,133.0,0.0,0.0,0.0
 Alabama,Grove Hill,1716.0,502.0,581.0,157.0,42.0,59.0
 Alabama,Elmore,1671.0,485.0,511.0,105.0,46.0,112.0
 Alabama,Emelle,38.0,9.0,25.0,1.0,0.0,3.0
 Alabama,Emerald Mountain,2895.0,325.0,1520.0,197.0,0.0,26.0
 Alabama,Enterprise,27785.0,6285.0,10778.0,2761.0,491.0,1717.0
 Alabama,Epes,137.0,26.0,73.0,13.0,0.0,9.0
 Alabama,Grimes,570.0,122.0,210.0,74.0,19.0,24.0
 Alabama,Greenville,7912.0,2265.0,2203.0,908.0,165.0,599.0
 Alabama,Greensboro,2485.0,866.0,625.0,195.0,80.0,216.0
 Alabama,Graysville,2149.0,414.0,836.0,238.0,26.0,265.0
 Alabama,Grayson Valley,5160.0,1080.0,1954.0,884.0,152.0,213.0
 Alabama,Guin,2351.0,456.0,938.0,393.0,63.0,171.0
 Alabama,Hartford,2645.0,533.0,909.0,277.0,120.0,288.0
 Alabama,Hartselle,14455.0,2675.0,6532.0,1459.0,121.0,734.0
 Alabama,Harvest,5226.0,1198.0,2062.0,405.0,190.0,126.0
 Alabama,Hoover,83547.0,16343.0,38782.0,6357.0,740.0,3629.0
 Alabama,Homewood,25535.0,8382.0,8963.0,1893.0,168.0,725.0
 Alabama,Holtville,4263.0,678.0,2021.0,322.0,56.0,177.0
 Alabama,Holt,3652.0,1276.0,933.0,301.0,109.0,206.0
 Alabama,Hollywood,971.0,152.0,414.0,208.0,8.0,89.0
 Alabama,Holly Pond,1084.0,219.0,503.0,72.0,32.0,44.0
 Alabama,Hollis Crossroads,714.0,149.0,233.0,117.0,0.0,43.0
 Alabama,Hollins,930.0,89.0,356.0,72.0,10.0,82.0
 Alabama,Hokes Bluff,4314.0,902.0,1936.0,503.0,0.0,288.0
 Alabama,Hodges,308.0,84.0,110.0,49.0,2.0,19.0
 Alabama,Hobson City,998.0,280.0,282.0,121.0,40.0,42.0
 Alabama,Hobson,77.0,0.0,20.0,29.0,0.0,28.0
 Alabama,Hissop,772.0,353.0,153.0,94.0,0.0,97.0
 Alabama,Hillsboro,562.0,108.0,252.0,53.0,15.0,49.0
 Alabama,Highland Lakes,4864.0,567.0,2797.0,217.0,0.0,153.0
 Alabama,Highland Lake,393.0,38.0,244.0,35.0,4.0,23.0
 Alabama,Henagar,2253.0,371.0,931.0,397.0,59.0,133.0
 Alabama,Helena,17589.0,2902.0,8110.0,1436.0,130.0,423.0
 Alabama,Heflin,3504.0,703.0,1164.0,585.0,129.0,283.0
 Alabama,Heath,338.0,64.0,119.0,55.0,10.0,12.0
 Alabama,Headland,4685.0,825.0,1839.0,530.0,129.0,259.0
 Alabama,Hazel Green,3266.0,722.0,1477.0,260.0,19.0,222.0
 Alabama,Hayneville,984.0,457.0,163.0,74.0,33.0,71.0
 Alabama,Hayden,1186.0,210.0,554.0,109.0,27.0,88.0
 Alabama,Hatton,144.0,0.0,98.0,28.0,0.0,7.0
 Alabama,Grant,956.0,143.0,467.0,65.0,16.0,47.0
 Alabama,Horn Hill,254.0,28.0,138.0,26.0,2.0,14.0
 Alabama,Grand Bay,3501.0,683.0,1564.0,381.0,27.0,182.0
 Alabama,Goshen,356.0,60.0,123.0,26.0,15.0,41.0
 Alabama,Fort Rucker,4895.0,1087.0,1916.0,179.0,42.0,0.0
 Alabama,Fort Payne,14112.0,3147.0,5477.0,1432.0,254.0,848.0
 Alabama,Fort Deposit,1482.0,438.0,384.0,134.0,48.0,53.0
 Alabama,Forkland,767.0,229.0,175.0,36.0,35.0,59.0
 Alabama,Forestdale,9716.0,2457.0,3598.0,1125.0,290.0,526.0
 Alabama,Foley,16345.0,3259.0,6806.0,2003.0,350.0,1375.0
 Alabama,Florence,39855.0,11327.0,14075.0,4534.0,688.0,2919.0
 Alabama,Florala,1863.0,344.0,732.0,223.0,51.0,163.0
 Alabama,Flomaton,1670.0,475.0,562.0,170.0,31.0,97.0
 Alabama,Five Points,181.0,72.0,49.0,32.0,0.0,19.0
 Alabama,Fitzpatrick,84.0,0.0,51.0,13.0,0.0,20.0
 Alabama,Franklin,243.0,57.0,99.0,17.0,17.0,7.0
 Alabama,Fayetteville,1257.0,218.0,584.0,74.0,33.0,67.0
 Alabama,Faunsdale,53.0,17.0,19.0,2.0,0.0,15.0
 Alabama,Falkville,1226.0,176.0,394.0,186.0,55.0,240.0
 Alabama,Fairview,483.0,76.0,244.0,27.0,12.0,32.0
 Alabama,Fairhope,17309.0,2954.0,7699.0,1677.0,211.0,1291.0
 Alabama,Fairford,85.0,0.0,75.0,10.0,0.0,0.0
 Alabama,Fairfield,10987.0,3613.0,2481.0,1418.0,507.0,930.0
 Alabama,Excel,1019.0,194.0,450.0,106.0,7.0,40.0
 Alabama,Evergreen,3842.0,1239.0,981.0,298.0,79.0,387.0
 Alabama,Eva,552.0,90.0,256.0,61.0,13.0,35.0
 Alabama,Eutaw,2834.0,809.0,680.0,409.0,184.0,292.0
 Alabama,Eunola,421.0,30.0,285.0,26.0,0.0,28.0
 Alabama,Fayette,4523.0,891.0,1511.0,579.0,153.0,370.0
 Alabama,Fredonia,385.0,27.0,223.0,43.0,9.0,0.0
 Alabama,Frisco City,1272.0,351.0,318.0,175.0,71.0,123.0
 Alabama,Fruitdale,209.0,56.0,49.0,35.0,0.0,0.0
 Alabama,Gordonville,278.0,85.0,39.0,62.0,25.0,27.0
 Alabama,Gordon,275.0,102.0,78.0,34.0,2.0,25.0
 Alabama,Gordo,1680.0,398.0,547.0,215.0,37.0,135.0
 Alabama,Goodwater,1537.0,540.0,413.0,168.0,45.0,139.0
 Alabama,Good Hope,2232.0,246.0,1105.0,173.0,31.0,53.0
 Alabama,Goldville,43.0,3.0,21.0,0.0,0.0,7.0
 Alabama,Glenwood,228.0,37.0,131.0,2.0,3.0,13.0
 Alabama,Glencoe,5139.0,818.0,2661.0,565.0,14.0,393.0
 Alabama,Glen Allen,513.0,99.0,214.0,68.0,0.0,57.0
 Alabama,Gilbertown,191.0,37.0,79.0,23.0,0.0,9.0
 Alabama,Geraldine,883.0,115.0,400.0,72.0,27.0,42.0
 Alabama,Georgiana,1710.0,578.0,365.0,191.0,50.0,215.0
 Alabama,Geneva,4469.0,726.0,1426.0,567.0,134.0,483.0
 Alabama,Geiger,262.0,41.0,93.0,23.0,11.0,12.0
 Alabama,Gaylesville,187.0,31.0,103.0,10.0,2.0,17.0
 Alabama,Gardendale,13763.0,2540.0,6689.0,1241.0,119.0,1057.0
 Alabama,Garden City,374.0,44.0,165.0,59.0,9.0,38.0
 Alabama,Gantt,180.0,31.0,89.0,19.0,2.0,18.0
 Alabama,Gallant,742.0,188.0,380.0,23.0,60.0,31.0
 Alabama,Gainesville,171.0,38.0,37.0,35.0,4.0,15.0
 Alabama,Gadsden,36455.0,9783.0,11359.0,4616.0,972.0,2861.0
 Alabama,Fyffe,1358.0,239.0,593.0,137.0,26.0,81.0
 Alabama,Fultondale,8733.0,2158.0,3885.0,690.0,47.0,547.0
 Alabama,Fulton,211.0,46.0,79.0,4.0,5.0,30.0
 Alabama,Fruithurst,266.0,35.0,140.0,35.0,3.0,13.0
 Alabama,Graham,332.0,87.0,162.0,0.0,0.0,0.0
 Alabama,Spanish Fort,7578.0,1525.0,3611.0,636.0,14.0,379.0
 Alabama,Hueytown,15894.0,3304.0,6057.0,1630.0,274.0,1320.0
 Alabama,Huntsville,185594.0,53563.0,65772.0,20675.0,3465.0,9345.0
 Alabama,Margaret,4487.0,692.0,1672.0,460.0,63.0,42.0
 Alabama,Marbury,1419.0,256.0,613.0,165.0,27.0,78.0
 Alabama,Maplesville,815.0,177.0,239.0,158.0,22.0,39.0
 Alabama,Malvern,1816.0,338.0,828.0,235.0,43.0,63.0
 Alabama,Malcolm,168.0,30.0,52.0,0.0,0.0,9.0
