State,City,Population,None,High School,Associates,Bachelors,Graduate
 Alabama,Scottsboro,14775.0,1921.0,3913.0,2751.0,1150.0,840.0
 Alabama,Satsuma,6152.0,359.0,1875.0,1549.0,316.0,260.0
 Alabama,Sardis City,1654.0,134.0,400.0,462.0,113.0,75.0
 Alabama,Saraland,13715.0,1380.0,3603.0,2658.0,1280.0,532.0
 Alabama,Red Bay,3143.0,473.0,884.0,490.0,155.0,66.0
 Alabama,Ashville,2342.0,321.0,515.0,490.0,73.0,32.0
 Alabama,Ray,480.0,63.0,202.0,103.0,0.0,0.0
 Alabama,Rainsville,4992.0,610.0,1188.0,1282.0,189.0,180.0
 Alabama,Dothan,67708.0,6298.0,13529.0,14672.0,7342.0,3958.0
 Alabama,Double Springs,1180.0,220.0,381.0,191.0,31.0,39.0
 Alabama,Douglas,1024.0,123.0,233.0,181.0,29.0,5.0
 Alabama,Dozier,307.0,42.0,77.0,52.0,18.0,12.0
 Alabama,Dunnavant,984.0,149.0,185.0,205.0,55.0,27.0
 Alabama,Dutton,331.0,18.0,101.0,57.0,6.0,10.0
 Alabama,East Brewton,2508.0,266.0,777.0,471.0,82.0,27.0
 Alabama,East Point,151.0,13.0,19.0,67.0,52.0,0.0
 Alabama,Eclectic,912.0,94.0,223.0,201.0,56.0,20.0
 Alabama,Edgewater,905.0,84.0,146.0,274.0,14.0,10.0
 Alabama,Edwardsville,137.0,13.0,33.0,41.0,12.0,1.0
 Alabama,Dora,2295.0,258.0,504.0,514.0,124.0,60.0
 Alabama,Egypt,1254.0,125.0,274.0,328.0,95.0,8.0
 Alabama,Elberta,1506.0,149.0,345.0,311.0,158.0,83.0
 Alabama,Eldridge,204.0,32.0,25.0,62.0,9.0,0.0
 Alabama,Elkmont,430.0,68.0,115.0,66.0,37.0,26.0
 Alabama,Pleasant Groves,560.0,57.0,230.0,65.0,16.0,13.0
 Alabama,Pleasant Grove,10270.0,629.0,2367.0,2657.0,1072.0,351.0
 Alabama,Pisgah,717.0,105.0,135.0,174.0,47.0,31.0
 Alabama,Pinson,7448.0,372.0,1767.0,2064.0,780.0,452.0
 Alabama,Pine Ridge,235.0,64.0,27.0,45.0,4.0,1.0
 Alabama,Pine Level,4552.0,276.0,1294.0,925.0,243.0,164.0
 Alabama,Pine Hill,929.0,60.0,235.0,183.0,39.0,31.0
 Alabama,Pine Apple,138.0,20.0,17.0,29.0,38.0,4.0
 Alabama,Elba,3919.0,599.0,868.0,721.0,284.0,120.0
 Alabama,Dodge City,714.0,91.0,187.0,148.0,58.0,12.0
 Alabama,Detroit,215.0,57.0,59.0,30.0,14.0,2.0
 Alabama,Demopolis,7249.0,501.0,1709.0,1364.0,643.0,389.0
 Alabama,Rainbow City,9608.0,490.0,1835.0,2509.0,1007.0,679.0
 Alabama,Ragland,1802.0,314.0,575.0,220.0,57.0,36.0
 Alabama,Putnam,100.0,22.0,20.0,28.0,5.0,6.0
 Alabama,Providence,268.0,20.0,107.0,65.0,8.0,10.0
 Alabama,Prichard,22439.0,2995.0,5461.0,4112.0,840.0,545.0
 Alabama,Priceville,2943.0,175.0,568.0,586.0,352.0,266.0
 Alabama,Prattville,34706.0,2267.0,6803.0,6606.0,3958.0,2881.0
 Alabama,Powell,1037.0,295.0,222.0,193.0,37.0,14.0
 Alabama,Pollard,236.0,23.0,56.0,30.0,14.0,7.0
 Alabama,Point Clear,2495.0,183.0,476.0,226.0,395.0,405.0
 Alabama,Crossville,2312.0,432.0,552.0,306.0,81.0,86.0
 Alabama,Cuba,509.0,26.0,164.0,32.0,86.0,23.0
 Alabama,Cullman,15014.0,1505.0,2767.0,3589.0,1244.0,1125.0
 Alabama,Cullomburg,117.0,5.0,44.0,17.0,10.0,0.0
 Alabama,Cusseta,151.0,15.0,36.0,27.0,6.0,8.0
 Alabama,Dadeville,3181.0,610.0,927.0,428.0,193.0,163.0
 Alabama,Daleville,5188.0,491.0,906.0,1444.0,340.0,162.0
 Alabama,Daphne,23559.0,682.0,3159.0,6036.0,4362.0,2019.0
 Alabama,Dauphin Island,1319.0,41.0,271.0,322.0,217.0,127.0
 Alabama,Daviston,271.0,24.0,72.0,66.0,22.0,13.0
 Alabama,Dayton,25.0,0.0,0.0,7.0,1.0,5.0
 Alabama,Deatsville,1218.0,27.0,194.0,324.0,110.0,67.0
 Alabama,Decatur,55598.0,6569.0,10365.0,11626.0,6497.0,2956.0
 Alabama,Deer Park,203.0,21.0,95.0,32.0,5.0,0.0
 Alabama,Delta,259.0,26.0,81.0,78.0,0.0,15.0
 Alabama,Ranburne,441.0,43.0,144.0,93.0,17.0,22.0
 Alabama,Ashland,2667.0,396.0,459.0,733.0,83.0,118.0
 Alabama,Ashford,2316.0,262.0,600.0,449.0,201.0,74.0
 Alabama,Arley,476.0,70.0,138.0,122.0,18.0,12.0
 Alabama,Hanceville,3195.0,489.0,821.0,707.0,122.0,55.0
 Alabama,Hammondville,587.0,105.0,147.0,116.0,19.0,25.0
 Alabama,Hamilton,6814.0,791.0,1449.0,1784.0,344.0,214.0
 Alabama,Haleyville,4068.0,841.0,892.0,797.0,239.0,98.0
 Alabama,Haleburg,96.0,15.0,21.0,20.0,15.0,4.0
 Alabama,Hackneyville,381.0,17.0,160.0,83.0,81.0,7.0
 Alabama,Hackleburg,1444.0,218.0,341.0,307.0,38.0,23.0
 Alabama,Gu-Win,126.0,11.0,43.0,27.0,2.0,3.0
 Alabama,Gurley,691.0,124.0,167.0,126.0,48.0,21.0
 Alabama,Guntersville,8326.0,1001.0,1747.0,1689.0,866.0,619.0
 Alabama,Gulf Shores,10703.0,559.0,2166.0,2706.0,1666.0,759.0
 Alabama,Harpersville,1711.0,214.0,416.0,287.0,146.0,47.0
 Alabama,Gulfcrest,207.0,17.0,65.0,38.0,13.0,0.0
 Alabama,Grove Hill,1716.0,163.0,534.0,238.0,115.0,100.0
 Alabama,Elmore,1671.0,281.0,402.0,203.0,40.0,28.0
 Alabama,Emelle,38.0,6.0,15.0,3.0,5.0,0.0
 Alabama,Emerald Mountain,2895.0,164.0,219.0,671.0,414.0,343.0
 Alabama,Enterprise,27785.0,1980.0,4805.0,5985.0,3513.0,2012.0
 Alabama,Epes,137.0,21.0,35.0,37.0,3.0,18.0
 Alabama,Grimes,570.0,63.0,175.0,120.0,40.0,9.0
 Alabama,Greenville,7912.0,1118.0,1877.0,1187.0,502.0,490.0
 Alabama,Greensboro,2485.0,415.0,760.0,308.0,103.0,72.0
 Alabama,Graysville,2149.0,317.0,717.0,408.0,90.0,40.0
 Alabama,Grayson Valley,5160.0,360.0,1065.0,1493.0,527.0,310.0
 Alabama,Guin,2351.0,437.0,599.0,591.0,107.0,43.0
 Alabama,Hartford,2645.0,534.0,626.0,442.0,140.0,76.0
 Alabama,Hartselle,14455.0,789.0,3228.0,3240.0,1579.0,944.0
 Alabama,Harvest,5226.0,308.0,736.0,1294.0,633.0,298.0
 Alabama,Hoover,83547.0,2779.0,6754.0,15976.0,19336.0,12644.0
 Alabama,Homewood,25535.0,978.0,1918.0,3110.0,4868.0,4080.0
 Alabama,Holtville,4263.0,417.0,1013.0,979.0,339.0,148.0
 Alabama,Holt,3652.0,536.0,872.0,543.0,150.0,46.0
 Alabama,Hollywood,971.0,220.0,358.0,170.0,19.0,0.0
 Alabama,Holly Pond,1084.0,67.0,231.0,301.0,76.0,23.0
 Alabama,Hollis Crossroads,714.0,146.0,136.0,176.0,13.0,40.0
 Alabama,Hollins,930.0,185.0,229.0,134.0,33.0,0.0
 Alabama,Hokes Bluff,4314.0,344.0,1057.0,1249.0,421.0,121.0
 Alabama,Hodges,308.0,62.0,62.0,56.0,17.0,5.0
 Alabama,Hobson City,998.0,148.0,197.0,271.0,29.0,7.0
 Alabama,Hobson,77.0,28.0,20.0,0.0,0.0,29.0
 Alabama,Hissop,772.0,174.0,228.0,162.0,63.0,37.0
 Alabama,Hillsboro,562.0,107.0,189.0,76.0,36.0,14.0
 Alabama,Highland Lakes,4864.0,82.0,527.0,841.0,1102.0,889.0
 Alabama,Highland Lake,393.0,18.0,92.0,86.0,73.0,46.0
 Alabama,Henagar,2253.0,445.0,611.0,453.0,24.0,42.0
 Alabama,Helena,17589.0,255.0,1975.0,3431.0,3911.0,1604.0
 Alabama,Heflin,3504.0,595.0,827.0,595.0,164.0,136.0
 Alabama,Heath,338.0,42.0,62.0,77.0,28.0,4.0
 Alabama,Headland,4685.0,358.0,982.0,1024.0,303.0,336.0
 Alabama,Hazel Green,3266.0,265.0,837.0,663.0,377.0,106.0
 Alabama,Hayneville,984.0,178.0,257.0,151.0,31.0,20.0
 Alabama,Hayden,1186.0,144.0,292.0,280.0,104.0,48.0
 Alabama,Hatton,144.0,17.0,36.0,43.0,5.0,0.0
 Alabama,Grant,956.0,64.0,191.0,178.0,96.0,62.0
 Alabama,Horn Hill,254.0,58.0,48.0,60.0,6.0,0.0
 Alabama,Grand Bay,3501.0,350.0,1005.0,691.0,164.0,70.0
 Alabama,Goshen,356.0,60.0,69.0,54.0,16.0,9.0
 Alabama,Fort Rucker,4895.0,26.0,236.0,1082.0,556.0,203.0
 Alabama,Fort Payne,14112.0,3016.0,2789.0,2320.0,665.0,547.0
 Alabama,Fort Deposit,1482.0,255.0,321.0,155.0,101.0,32.0
 Alabama,Forkland,767.0,112.0,158.0,126.0,27.0,9.0
 Alabama,Forestdale,9716.0,441.0,1926.0,2668.0,1196.0,524.0
 Alabama,Foley,16345.0,1014.0,3914.0,4082.0,1844.0,1144.0
 Alabama,Florence,39855.0,4001.0,7349.0,7399.0,4136.0,2819.0
 Alabama,Florala,1863.0,283.0,491.0,534.0,61.0,19.0
 Alabama,Flomaton,1670.0,250.0,455.0,224.0,149.0,25.0
 Alabama,Five Points,181.0,43.0,51.0,7.0,11.0,1.0
 Alabama,Fitzpatrick,84.0,33.0,19.0,24.0,8.0,0.0
 Alabama,Franklin,243.0,21.0,28.0,38.0,33.0,20.0
 Alabama,Fayetteville,1257.0,251.0,233.0,231.0,38.0,44.0
 Alabama,Faunsdale,53.0,6.0,18.0,5.0,9.0,4.0
 Alabama,Falkville,1226.0,334.0,335.0,202.0,37.0,49.0
 Alabama,Fairview,483.0,59.0,117.0,114.0,20.0,17.0
 Alabama,Fairhope,17309.0,554.0,2004.0,3511.0,3464.0,2520.0
 Alabama,Fairford,85.0,36.0,49.0,0.0,0.0,0.0
 Alabama,Fairfield,10987.0,779.0,2055.0,2911.0,946.0,348.0
 Alabama,Excel,1019.0,96.0,241.0,209.0,82.0,60.0
 Alabama,Evergreen,3842.0,504.0,1202.0,587.0,48.0,80.0
 Alabama,Eva,552.0,33.0,151.0,117.0,31.0,42.0
 Alabama,Eutaw,2834.0,571.0,577.0,696.0,226.0,63.0
 Alabama,Eunola,421.0,14.0,197.0,134.0,0.0,14.0
 Alabama,Fayette,4523.0,614.0,1003.0,715.0,336.0,269.0
 Alabama,Fredonia,385.0,31.0,81.0,109.0,31.0,21.0
 Alabama,Frisco City,1272.0,206.0,473.0,157.0,40.0,31.0
 Alabama,Fruitdale,209.0,6.0,76.0,7.0,0.0,0.0
 Alabama,Gordonville,278.0,50.0,76.0,62.0,18.0,3.0
 Alabama,Gordon,275.0,67.0,94.0,32.0,6.0,3.0
 Alabama,Gordo,1680.0,239.0,546.0,264.0,115.0,58.0
 Alabama,Goodwater,1537.0,314.0,441.0,298.0,40.0,11.0
 Alabama,Good Hope,2232.0,191.0,492.0,488.0,127.0,118.0
 Alabama,Goldville,43.0,4.0,9.0,6.0,8.0,3.0
 Alabama,Glenwood,228.0,25.0,60.0,55.0,12.0,12.0
 Alabama,Glencoe,5139.0,543.0,1195.0,1596.0,430.0,275.0
 Alabama,Glen Allen,513.0,89.0,118.0,140.0,24.0,8.0
 Alabama,Gilbertown,191.0,21.0,54.0,37.0,18.0,0.0
 Alabama,Geraldine,883.0,87.0,212.0,154.0,53.0,45.0
 Alabama,Georgiana,1710.0,348.0,522.0,251.0,40.0,44.0
 Alabama,Geneva,4469.0,662.0,1177.0,789.0,346.0,42.0
 Alabama,Geiger,262.0,46.0,62.0,25.0,21.0,6.0
 Alabama,Gaylesville,187.0,30.0,46.0,45.0,10.0,8.0
 Alabama,Gardendale,13763.0,777.0,3377.0,3140.0,1694.0,933.0
 Alabama,Garden City,374.0,62.0,148.0,72.0,22.0,3.0
 Alabama,Gantt,180.0,19.0,46.0,47.0,14.0,6.0
 Alabama,Gallant,742.0,84.0,131.0,224.0,66.0,10.0
 Alabama,Gainesville,171.0,24.0,38.0,21.0,6.0,14.0
 Alabama,Gadsden,36455.0,5351.0,7644.0,8005.0,2370.0,1288.0
 Alabama,Fyffe,1358.0,140.0,310.0,307.0,54.0,50.0
 Alabama,Fultondale,8733.0,919.0,1691.0,2037.0,1059.0,476.0
 Alabama,Fulton,211.0,36.0,74.0,33.0,3.0,4.0
 Alabama,Fruithurst,266.0,48.0,94.0,45.0,8.0,3.0
 Alabama,Graham,332.0,46.0,40.0,39.0,41.0,11.0
 Alabama,Spanish Fort,7578.0,219.0,1017.0,1360.0,2012.0,574.0
 Alabama,Hueytown,15894.0,1420.0,3705.0,3878.0,927.0,596.0
 Alabama,Huntsville,185594.0,12235.0,25523.0,37971.0,30585.0,19166.0
 Alabama,Margaret,4487.0,167.0,868.0,752.0,284.0,142.0
 Alabama,Marbury,1419.0,141.0,380.0,283.0,0.0,69.0
 Alabama,Maplesville,815.0,121.0,234.0,117.0,44.0,16.0
 Alabama,Malvern,1816.0,314.0,495.0,296.0,76.0,26.0
 Alabama,Malcolm,168.0,9.0,52.0,30.0,0.0,0.0
 Alabama,Magnolia Springs,752.0,66.0,142.0,170.0,160.0,70.0
 Alabama,Madrid,355.0,74.0,97.0,49.0,27.0,5.0
 Alabama,Madison,45590.0,1286.0,3848.0,8071.0,10484.0,6390.0
 Alabama,McMullen,5.0,3.0,0.0,0.0,2.0,0.0
 Alabama,McKenzie,551.0,92.0,153.0,91.0,35.0,5.0
 Alabama,McIntosh,422.0,10.0,82.0,99.0,41.0,7.0
 Alabama,Marion,3551.0,313.0,629.0,441.0,166.0,134.0
 Alabama,Macedonia,165.0,24.0,60.0,45.0,0.0,0.0
 Alabama,Lynn,563.0,104.0,154.0,120.0,26.0,8.0
 Alabama,Luverne,2825.0,435.0,660.0,519.0,243.0,113.0
 Alabama,Loxley,1886.0,177.0,411.0,391.0,173.0,51.0
 Alabama,Lowndesboro,118.0,9.0,9.0,42.0,18.0,14.0
 Alabama,Louisville,440.0,116.0,83.0,78.0,24.0,37.0
 Alabama,Lookout Mountain,1152.0,156.0,279.0,301.0,92.0,55.0
 Alabama,Locust Fork,1441.0,169.0,359.0,335.0,63.0,10.0
 Alabama,Lockhart,443.0,54.0,110.0,102.0,18.0,19.0
 Alabama,Loachapoka,217.0,16.0,40.0,59.0,27.0,11.0
 Alabama,Livingston,3466.0,209.0,449.0,369.0,239.0,230.0
 Alabama,Littleville,1029.0,132.0,345.0,221.0,12.0,14.0
 Alabama,McDonald Chapel,530.0,122.0,98.0,75.0,12.0,0.0
 Alabama,Maytown,359.0,32.0,120.0,86.0,28.0,9.0
 Alabama,Meadowbrook,8752.0,360.0,655.0,1488.0,2407.0,1105.0
 Alabama,Megargel,64.0,30.0,16.0,0.0,18.0,0.0
 Alabama,Ariton,702.0,119.0,155.0,109.0,12.0,19.0
 Alabama,Moundville,2183.0,332.0,426.0,431.0,169.0,105.0
 Alabama,Moulton,3386.0,517.0,1134.0,473.0,290.0,66.0
